Date,Subscribers,Reach,Item Views,Item Clickthroughs,Hits
05-05-2012,3,1,9,0,10
05-06-2012,2,0,0,0,5
05-07-2012,3,0,0,0,4
05-08-2012,4,1,11,0,6
05-09-2012,4,0,0,0,3
05-10-2012,4,3,3,0,2
05-11-2012,4,0,0,0,5
05-12-2012,4,0,0,0,3
05-13-2012,5,0,0,0,4
05-14-2012,0,0,0,0,0
05-15-2012,5,0,0,0,4
05-16-2012,4,0,0,0,3
05-17-2012,4,0,0,0,4
05-18-2012,4,0,0,0,4
05-19-2012,4,0,0,0,3
05-20-2012,5,0,0,0,5
05-21-2012,4,0,0,0,4
05-22-2012,4,0,0,0,2
05-23-2012,4,0,0,0,3
05-24-2012,5,0,0,0,5
05-25-2012,4,0,0,0,4
05-26-2012,4,0,0,0,4
05-27-2012,4,0,0,0,4
05-28-2012,4,0,0,0,4
05-29-2012,4,0,0,0,3
05-30-2012,4,0,0,0,6
05-31-2012,4,0,0,0,7
06-01-2012,4,0,0,0,6
06-02-2012,4,0,0,0,4
06-03-2012,4,0,0,0,4
06-04-2012,4,0,0,0,5
06-05-2012,4,0,0,0,4
06-06-2012,4,0,0,0,4
06-07-2012,4,0,0,0,4
06-08-2012,4,0,0,0,3
06-09-2012,4,0,0,0,4
06-10-2012,4,0,0,0,4
06-11-2012,4,0,0,0,5
06-12-2012,5,0,0,0,7
06-13-2012,4,4,4,0,4
06-14-2012,4,2,2,0,3
06-15-2012,4,1,10,2,7
06-16-2012,5,0,0,0,7
06-17-2012,6,0,0,0,8
06-18-2012,6,1,1,1,8
06-19-2012,8,0,0,0,8
06-20-2012,7,0,0,0,4
06-21-2012,7,0,0,0,5
06-22-2012,7,0,0,0,6
06-23-2012,7,0,0,0,7
06-24-2012,7,0,0,0,5
06-25-2012,7,0,0,0,5
06-26-2012,7,0,0,0,4
06-27-2012,8,0,0,0,7
06-28-2012,7,0,0,0,8
06-29-2012,7,0,0,0,3
06-30-2012,8,0,0,0,7
07-01-2012,7,0,0,0,6
07-02-2012,7,0,0,0,7
07-03-2012,7,0,0,0,5
07-04-2012,8,2,2,0,6
07-05-2012,7,0,0,0,6
07-06-2012,7,0,0,0,5
07-07-2012,7,0,0,0,6
07-08-2012,7,0,0,0,4
07-09-2012,7,0,0,0,5
07-10-2012,7,1,1,0,6
07-11-2012,8,1,1,0,7
07-12-2012,7,0,0,0,6
07-13-2012,7,1,10,0,7
07-14-2012,8,0,0,0,6
07-15-2012,8,0,0,0,7
07-16-2012,8,0,0,0,7
07-17-2012,8,1,1,0,5
07-18-2012,9,0,0,0,7
07-19-2012,8,0,0,0,4
07-20-2012,8,0,0,0,4
07-21-2012,8,0,0,0,4
07-22-2012,8,0,0,0,4
07-23-2012,8,0,0,0,8
07-24-2012,8,0,0,0,4
07-25-2012,8,0,0,0,3
07-26-2012,8,0,0,0,4
07-27-2012,8,0,0,0,4
07-28-2012,8,0,0,0,4
07-29-2012,8,0,0,0,4
07-30-2012,8,0,0,0,4
07-31-2012,8,0,0,0,4
08-01-2012,8,3,3,1,4
08-02-2012,8,0,0,0,3
08-03-2012,8,0,0,0,4
08-04-2012,8,2,3,0,4
08-05-2012,9,0,0,0,6
08-06-2012,9,0,0,0,4
08-07-2012,9,0,0,0,12
08-08-2012,9,0,0,0,4
08-09-2012,10,0,0,0,4
08-10-2012,9,0,0,0,8
08-11-2012,9,0,0,0,8
08-12-2012,10,1,1,0,12
08-13-2012,9,0,0,0,12
08-14-2012,10,0,0,0,9
08-15-2012,9,0,0,0,18
08-16-2012,9,0,0,0,5
08-17-2012,10,0,0,0,11
08-18-2012,9,0,0,0,9
08-19-2012,9,0,0,0,13
08-20-2012,10,0,0,0,11
08-21-2012,9,0,0,0,16
08-22-2012,9,0,0,0,8
08-23-2012,9,0,0,0,4
08-24-2012,10,0,0,0,6
08-25-2012,10,0,0,0,4
08-26-2012,11,0,0,0,8
08-27-2012,9,0,0,0,5
08-28-2012,9,0,0,0,3
08-29-2012,10,5,5,1,10
08-30-2012,9,0,0,0,5
08-31-2012,9,0,0,0,5
09-01-2012,9,0,0,0,6
09-02-2012,9,0,0,0,3
09-03-2012,9,1,1,1,3
09-04-2012,9,0,0,0,3
09-05-2012,9,0,0,0,3
09-06-2012,9,0,0,0,5
09-07-2012,10,0,0,0,6
09-08-2012,11,0,0,0,8
09-09-2012,9,0,0,0,8
09-10-2012,10,0,0,0,7
09-11-2012,9,0,0,0,4
09-12-2012,9,0,0,0,3
09-13-2012,11,0,0,0,6
09-14-2012,9,0,0,0,4
09-15-2012,9,0,0,0,5
09-16-2012,9,0,0,0,3
09-17-2012,9,0,0,0,4
09-18-2012,8,0,0,0,4
09-19-2012,9,1,1,0,6
09-20-2012,8,1,1,0,4
09-21-2012,8,4,4,1,6
09-22-2012,8,1,10,0,5
09-23-2012,8,0,0,0,3
09-24-2012,8,0,0,0,4
09-25-2012,8,0,0,0,8
09-26-2012,9,0,0,0,7
09-27-2012,9,0,0,0,4
09-28-2012,10,0,0,0,5
09-29-2012,10,0,0,0,5
09-30-2012,9,0,0,0,5
10-01-2012,9,0,0,0,4
10-02-2012,9,0,0,0,3
10-03-2012,9,0,0,0,4
10-04-2012,10,0,0,0,5
10-05-2012,10,0,0,0,7
10-06-2012,9,0,0,0,4
10-07-2012,9,0,0,0,10
10-08-2012,9,1,5,0,6
10-09-2012,10,1,1,0,10
10-10-2012,10,2,12,0,5
10-11-2012,11,0,0,0,7
10-12-2012,10,0,0,0,3
10-13-2012,11,0,0,0,9
10-14-2012,10,0,0,0,5
10-15-2012,10,0,0,0,4
10-16-2012,10,0,0,0,3
10-17-2012,10,0,0,0,4
10-18-2012,10,0,0,0,6
10-19-2012,10,0,0,0,5
10-20-2012,10,0,0,0,3
10-21-2012,10,0,0,0,4
10-22-2012,10,0,0,0,10
10-23-2012,10,0,0,0,4
10-24-2012,11,1,6,0,5
10-25-2012,10,0,0,0,3
10-26-2012,10,0,0,0,7
